title,price,brand,Model,frequency,RAM
Gigabyte PCI-E 4.0 GV-N307TVISION OC-8GD NVIDIA GeForce RTX 3070TI 8192Mb 256 GDDR6X 1830/19000/HDMIx2/DPx2/HDCP Ret,77850,GigaByte,nan,nan,nan
"RX6700XT 12GB GDDR6 192bit HDMI 3xDP (AXRX 6700XT 12GBD6-3DH) RTL {15}, (173380)",57730,PowerColor,nan,nan,nan
PowerColor PCI-E 4.0 AXRX 6500XT 4GBD6-DH AMD Radeon RX 6500XT 4096Mb 64 GDDR6 2359/18000 HDMIx1 DPx3 HDCP Ret,20270,PowerColor,nan,nan,nan
"GT240 1GB DDR3 128BIT, LP Single fan (782883)",2400,nan,nan,nan,nan
BIOSTAR GeForce GT 1030 4096Mb ATX SINGLE FAN (VN1034TB46),9180,BIOSTAR,nan,nan,nan
RX6700XT OC 12GB GDDR6 (686328),54120,BIOSTAR,nan,nan,nan
RX6800XT 16GB GDDR6 256bit DVI HDMI 3xDP (AXRX 6800XT 16GBD6-3DHR/OC) RTL {5} (173137),90930,PowerColor,nan,nan,nan
RX6800-16GB (686403) {10},71710,BIOSTAR,nan,nan,nan
PNY Quadro RTX A4500 VCNRTXA4500-PB PCI-E 20480mb GDDR6 320 Bit Retail,170650,PNY,Quadro RTX A4500,1650,20480
Palit GeForce GTX 1660 Ti Dual PCI-E 6144Mb GDDR6 192 Bit Retail (NE6166T018J9-1160C),29250,Palit,GeForce GTX 1660 Ti,1770,6144
MSI nVidia GeForce RTX 2060 VENTUS OC PCI-E 6144Mb GDDR6 192 Bit OEM,45680,MSI,nVidia GeForce RTX 2060,1710,6144
ASUS Radeon RX 6700 XT DUAL OC Edition PCI-E 12288Mb GDDR6 192 Bit Retail ()DUAL-RX6700XT-O12G),62560,ASUS,Radeon RX 6700 XT,2622,12288
Palit nVidia GeForce RTX 3070 JetStream V1 LHR PCI-E 8192Mb GDDR6 256 Bit Retail (NE63070019P2-1040J V1),62160,Palit,nVidia GeForce RTX 3070,1500,8192
KFA2 GeForce GTX 1650 D6 EX PCI-E 4096Mb GDDR6 128 Bit Retail,16940,KFA2,GeForce GTX 1650 D6,1410,4096
GigaByte GeForce GT 730 GV-N730D5-2GL PCI-E 2048Mb 64 Bit Retail (GV-N730D5-2GL),6010,GigaByte,GeForce GT 730,902,2048
Gigabyte nVidia GeForce RTX 2060 WINDFORCE OC PCI-E 12288Mb GDDR6 192 Bit Retail (GV-N2060WF2OC-12GD),43050,Gigabyte,nVidia GeForce RTX 2060,1680,12288
